molregno,canonical_smiles,standard_inchi_key,target_id,target_chembl_id,pref_name,y,ic50_nM_median,n_measurements
37694,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,BPLTVYXMXOYIBK-DHZHZOJOSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,9.397940008672037,0.4,1
69049,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,RLVCBYBGVBOVFV-HZCBDIJESA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,9.036212172654444,0.92,1
153087,Oc1n[nH]c(-c2ccccc2)n1,FFSXNTGAFSVILG-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,3.300000003143145,501187.23,1
346611,Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,SDMLKCQDZJOSDN-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.3872161432802645,4100.0,1
350235,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,ZHXNIYGJAOPMSO-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.3872161432802645,4100.0,3
356252,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,VSJXTUFWPAOYLC-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.0,100.0,1
358136,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,DGUSFVFTIHATAT-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.47755576649368,3330.0,1
358486,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,DVRSTRMZTAPMKO-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.2636034977233574,545.0,1
407979,c1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,XNFHHOXCDUAYSR-SFHVURJKSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.059632954014335,871.1,2
471145,COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,ONSZEUCTVQJHOZ-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.568636235841012,27.0,1
471159,NC(=O)c1nnc2ccccc2c1N,FCYPWSQPDXUBPV-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.455931955649724,3162.28,2
471225,COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)nc3)ccnc2cc1OCCCN1CCOCC1,UVNDVSUMHWZESZ-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.899629454882437,126.0,1
477771,CNc1nc2c(nc(-c3ccccc3)n2C)c2c1ncn2C,FUTLJNOGKQFKCL-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,4.853871964321762,14000.0,1
570962,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,LQVXSNNAFNGRAH-QHCPKHFHSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.420559402860203,3797.0,1
611484,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,NWEIPABWNQPRCZ-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.107905397309519,7800.0,1
622660,COc1ccccc1/C=C/c1nc2ccccc2c(=O)[nH]1,MHPRNHAIPCKPIR-ZHACJKMWSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.341035157335565,456.0,1
778406,Fc1cccc(Cl)c1CNc1nc(-c2ccco2)n[nH]1,AHOHWELPUXLPOF-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.962175249411658,1091.0,1
