molregno,canonical_smiles,standard_inchi_key,target_id,target_chembl_id,pref_name,y,ic50_nM_median,n_measurements,scaffold
37694,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,BPLTVYXMXOYIBK-DHZHZOJOSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,9.397940008672037,0.4,1,c1ccc(Nc2nc3ccc4ccncc4c3[nH]2)cc1
350235,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,ZHXNIYGJAOPMSO-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.3872161432802645,4100.0,3,O=C(Nc1ncc(Sc2cccc(C(=O)N3CCNCC3)c2)s1)c1ccccc1
611484,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,NWEIPABWNQPRCZ-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.107905397309519,7800.0,1,O=C(Nc1ccccc1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1
1138793,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCCNC3)c[nH]c12,WEDULMQJBAQTCR-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.899998417198648,1258.93,1,c1ccc(-c2ccc3[nH]cc(C4CCCNC4)c3c2)cc1
1214046,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,XYFPWWZEPKGCCK-GOSISDBHSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.962573502059376,1.09,131,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1
1264176,CCN(C(=O)/C=C/CN(C)C)c1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,OJZKUAGKHXFNTK-FMIVXFBMSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.718966632752272,19.1,1,c1ccc(Nc2nc3ccccc3n3cncc23)cc1
1264342,Cc1cc(F)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,XWNLNQBHNYURJW-AATRIKPKSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.528708288941061,2.96,1,c1ccc(Nc2nc3ccccc3n3cncc23)cc1
1264344,Cc1cccc(Cl)c1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,YTSHBWDZKXHZDM-RMKNXTFCSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.987162775294828,10.3,1,c1ccc(Nc2nc3ccccc3n3cncc23)cc1
1264349,Cc1ccc(O)cc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,KYUSQYYNVXPYRV-AATRIKPKSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.809668301829708,1.55,1,c1ccc(Nc2nc3ccccc3n3cncc23)cc1
1264350,Cc1cc(O)ccc1Nc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,WWGGVYTUKPJKPA-AATRIKPKSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.913640169325252,12.2,1,c1ccc(Nc2nc3ccccc3n3cncc23)cc1
