molregno,canonical_smiles,standard_inchi_key,target_id,target_chembl_id,pref_name,y,ic50_nM_median,n_measurements
1831174,CC(=O)c1ccc(-c2cc3c(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)ncnc3[nH]2)cc1,VEVJCCNECRPZOO-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.309803919971486,41.7,2
2503000,CC(C)(C)c1ccc(C(=O)NCc2ccc(-c3ncnc4[nH]ccc34)cc2)cc1,ODLDMAFDYHTWSE-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.847711655616944,142.0,1
3032219,C=CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(NC(=O)c4ccc(N5CCN(C(=O)OC(C)(C)C)CC5)cc4)s3)c(C)cc2OC)CC1,SFULEOXIPYUXER-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.259637310505756,55.0,1
2567426,CNC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1C(=O)C[C@@H](Cc1cccc(F)c1)NC(=O)C1CO1,UMWWEZMNPBLTBD-SHVQYXQLSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.634512015109101,232.0,1
2003121,CN1CCC(c2ccc(Nc3cc(-c4cc(F)cc(N5CCc6c(sc7c6CC(C)(C)C7)C5=O)c4CO)cn(C)c3=O)nc2)CC1,CWCCKSPETMTVKY-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.657577319177793,2.2,1
3082908,Cn1cc(Nc2nccc(-c3cc4c(cn3)C(NC(=O)c3nnc(C(C)(C)C)o3)CCCC4)n2)cn1,IBADWWZLDGKQST-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.296708621881338,505.0,1
3180197,C=CC(=O)N1CCC(n2nc3c4c(ncnc42)Nc2cc(Oc4c(F)c(F)cc(F)c4F)ccc2-3)C1,BSLOMNRGAJLCDL-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,5.991399828238082,1020.0,2
2149658,C=CC(=O)Nc1cccc(-c2nc(Nc3ccc(N4CCOCC4)c(O)c3)ncc2Cl)c1,QLQDJIYCXRRPQM-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.397940008672037,4.0,1
2760553,Cc1ccc(NC(=O)c2cccc(-c3ccco3)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,KHTYLSIHFRAWQO-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,6.443335737877431,360.3,1
2036183,CC(=O)N1CCN(C(C)(C)/C=C(\C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1,YLPIYCASFDJXFO-FLXPQLCOSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.721246399047171,1.9,2
2292136,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2cnn(C3CC3)c2)n1,PQGZSYDTPMUKAG-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.55284196865778,0.3,2
3082465,CCN1CCO[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,AZIWGOLZVJPZRH-SFHVURJKSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.259637310505756,55.0,1
2376917,C=CC(=O)N[C@@H]1CCC[C@H](Nc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)C1,WFULWSGYPNUKDK-MOPGFXCFSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,7.853871964321762,14.0,1
3232109,C=CC(=O)N1CC[C@@H](F)[C@@H](Oc2nc(Nc3cnn(CC(F)F)c3)nc3[nH]cc(C)c23)C1,FKKDZJVASSEXKZ-KGLIPLIRSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,8.154901959985743,4.5,2
2768163,CC#CC(=O)N1CC=C(c2c[nH]c3ncnc(-c4ccc(CNC(=O)c5ccc(C(C)(C)C)cc5)c(F)c4)c23)CC1,RGXHUWCGYPWIER-UHFFFAOYSA-N,100097,CHEMBL5251,Tyrosine-protein kinase BTK,9.096910013008056,0.8,1
