molregno,canonical_smiles,standard_inchi_key,target_id,target_chembl_id,pref_name,y,ic50_nM_median,n_measurements
1529,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,YZFWTZACSRHJQD-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.3320803146826385,4655.0,1
1545,COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,NVPFAFOQUJRLJO-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.1249387366083,75000.0,1
2658,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.0,1000.0,6
2687,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,YEELQJLZRMCLAG-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.3979400086720375,1500.0,2
2758,O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,RQYVHBZWMYJJAJ-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.230622673923862,58800.0,1
2961,COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,FTEDVZPTRHFYOX-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.3979400086720375,40.0,3
3034,O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,TYLKNORJFZPIPX-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.6020599913279625,2500.0,1
3102,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,LESFPZSUPOHBIP-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.7447274948966935,2000.0,2
5797,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,9,CHEMBL203,Epidermal growth factor receptor,3.7099653886374817,195000.0,1
6216,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.539583303374264,28868.0,1
12846,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,XPLJEFSRINKZLC-ATVHPVEESA-N,9,CHEMBL203,Epidermal growth factor receptor,5.522878745280337,3000.0,1
12878,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C,IVURVTQZRJNNOE-ATVHPVEESA-N,9,CHEMBL203,Epidermal growth factor receptor,5.0,10000.0,1
14366,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,BIIVYFLTOXDAOV-YVEFUNNKSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.6777807052660805,21000.0,3
14804,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,PFBNCPMUCGZALP-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.980011840408714,104.0,2
14805,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.823908740944319,15.0,91
