molregno,canonical_smiles,standard_inchi_key,target_id,target_chembl_id,pref_name,y,ic50_nM_median,n_measurements
411883,COCCOCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,RSIUAJHRAOKMFS-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.309803919971486,490.0,1
3214383,CC[C@@H](Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN([C@@H](C)CF)NN3)c3cccnc3)cc12)c1ccccc1,IQLMHJXMDBEWPR-IFVHXUSFSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.698970004336019,2.0,1
3080177,C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc5cnn(C)c45)ncnc3cn2)CC1,DBXICEUNVAWDED-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.537602002101044,29000.0,3
2346641,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,PBKCWNJHEGIOCE-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.080921907623926,10.0,2
3102769,Cc1ncsc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3cnc(F)c(F)c3)c2c1)C1=CNNN1,GXAVWZSVAKZOOF-HXUWFJFHSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.221848749616356,6.0,1
228531,O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,XMBAKOAIBDXONF-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.029188389127482,93.5,1
650852,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,GFTOODFOXIDLNF-HSZRJFAPSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.568636235841012,20.0,8
2242797,C#Cc1cccc(Nc2ncnc3cc(OCCCN4C[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO)c(OC)cc23)c1,BBEATYMSUGWQOM-RRJCBXKSSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.312471038785366,4.87,1
520187,COc1c(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)nc3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,KLPFPTSVYVEKOL-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.267606240177031,5400.0,1
2359115,O=C(Nc1nccs1)[C@@H](c1cc(F)ccc1O)N1Cc2ccccc2C1=O,YTUFHOKUFOQRDF-MRXNPFEDSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.6020599913279625,8.8,6
3103009,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3ccc(OC)nc3)ncc2F)cc1,YLCGOORWBSZEPE-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.259637310505756,1050.0,2
1733723,COc1ccc(Oc2nc3ccc(C)cc3cc2/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,ZLGNBZXKRMZDCF-RPPGKUMJSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.661543506395395,120.0,2
262807,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,LFJRDQBYPYZMLW-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.795880017344075,82.0,2
2985667,C=CC(=O)Nc1cc(Nc2nccc(-c3ccc4nc(OC)n(C(C)C)c4c3)n2)c(OC)cc1N(C)CCN(C)C,FIXQKPHIDLZHGW-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.6020599913279625,25.0,2
422317,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,FOMAIMPXVLHOCI-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.42021640338319,380.0,1
87188,Cc1cccc(C)c1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,FDFVLFGLUAPMGB-RIYZIHGNSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.989999996723885,10232.93,3
1352232,O=C1Cc2c(cccc2Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)N1,SHKHWNUDFOMKAK-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.522878745280337,3.0,1
1269929,O=C(/C=C/c1ccc(F)cc1)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,HOXUUWIOGRJBDT-NTEUORMPSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.085656842880559,821.0,1
1074181,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCCN1CCOCC1,PUPXFZQHXRUOTN-WCMJOSRZSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.187086643357144,65.0,1
1248495,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CCCN(C)C1,JFGLOXKNWPNMQT-AWEZNQCLSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.823908740944319,100.0,2
3184066,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCOCCOCCOCC#Cc4cccc5c4C(=O)N([C@@H](C(=O)Nc4nccs4)c4cc(F)ccc4O)C5)c3C2=O)C(=O)N1,IMZUDSHAWLMVHC-ZXLKLBPTSA-N,9,CHEMBL203,Epidermal growth factor receptor,4.522878745280337,30000.0,4
2319625,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(CN3CCOCC3)cc2)ncc1Cl,KVJLISUNVFUYME-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.815308569182401,15.3,1
2318459,COc1ccc(-c2nc3sc(-c4ccc(Cl)cc4)cn3n2)cc1,DNGYZARPLVYBRH-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,5.823908740944319,1500.0,1
484799,CSCc1cc(/C=C2\C(=O)Nc3ccccc32)cc(CSC)c1O,HXAVERUVVZQIGE-SXGWCWSVSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.3979400086720375,400.0,1
3115709,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3ccc(Oc4ccccc4)cc3)n2)c1,RFBXRPQFQIGZCL-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.259637310505756,550.0,5
2258345,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,GLOWZYZDMOCQKB-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.467245621007502,70.0,2
3196482,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnc4c(ccn4C)c3)n2)c(OC)cc1N1CCC(N(C)C)CC1,UVHIEUQSBNAGDC-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.565431095965801,17.0,2
1345338,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,PRTPANUTPYMUDM-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.481486060122112,3.2,2
2304287,CSc1ccc(N(C)c2ncnc3occ(C)c23)cc1,XGNXYCZBBNAIIL-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,8.142667503568731,7.2,1
2989995,CN1CCC(c2ccc3c(c2)[nH]/c(=N\C(=O)c2ccnc(-c4cnn(C)c4)c2)n3CC(C)(C)O)CC1,MCXNFGQPMYDYEP-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,7.557520230935552,27.7,3
205121,Nc1cc2ncnc(Nc3ccccc3)c2cn1,PFOCXCZOPREBSG-UHFFFAOYSA-N,9,CHEMBL203,Epidermal growth factor receptor,6.6020599913279625,250.0,1
